WKT,CGI
"POLYGON ((116.2890517241379 40.14, 116.2890517241379 40.13666530447968, 116.283275862069 40.13333060895936, 116.2775 40.13666530447968, 116.2775 40.14, 116.2890517241379 40.14))",15
"POLYGON ((116.3006034482759 40.14, 116.3006034482759 40.13666530447968, 116.2948275862069 40.13333060895936, 116.2890517241379 40.13666530447968, 116.2890517241379 40.14, 116.3006034482759 40.14))",16
"POLYGON ((116.3121551724138 40.14, 116.3121551724138 40.13666530447968, 116.3063793103448 40.13333060895936, 116.3006034482759 40.13666530447968, 116.3006034482759 40.14, 116.3121551724138 40.14))",17
"POLYGON ((116.3237068965517 40.14, 116.3237068965517 40.13666530447968, 116.3179310344828 40.13333060895936, 116.3121551724138 40.13666530447968, 116.3121551724138 40.14, 116.3237068965517 40.14))",18
"POLYGON ((116.3352586206897 40.14, 116.3352586206897 40.13666530447968, 116.3294827586207 40.13333060895936, 116.3237068965517 40.13666530447968, 116.3237068965517 40.14, 116.3352586206897 40.14))",19
"POLYGON ((116.3468103448276 40.14, 116.3468103448276 40.13666530447968, 116.3410344827586 40.13333060895936, 116.3352586206896 40.13666530447968, 116.3352586206896 40.14, 116.3468103448276 40.14))",20
"POLYGON ((116.3583620689655 40.14, 116.3583620689655 40.13666530447968, 116.3525862068965 40.13333060895936, 116.3468103448276 40.13666530447968, 116.3468103448276 40.14, 116.3583620689655 40.14))",21
"POLYGON ((116.3699137931034 40.14, 116.3699137931034 40.13666530447968, 116.3641379310345 40.13333060895936, 116.3583620689655 40.13666530447968, 116.3583620689655 40.14, 116.3699137931034 40.14))",22
"POLYGON ((116.3814655172414 40.14, 116.3814655172414 40.13666530447968, 116.3756896551724 40.13333060895936, 116.3699137931034 40.13666530447968, 116.3699137931034 40.14, 116.3814655172414 40.14))",23
"POLYGON ((116.3930172413793 40.14, 116.3930172413793 40.13666530447968, 116.3872413793103 40.13333060895936, 116.3814655172414 40.13666530447968, 116.3814655172414 40.14, 116.3930172413793 40.14))",24
"POLYGON ((116.4045689655172 40.14, 116.4045689655172 40.13666530447968, 116.3987931034483 40.13333060895936, 116.3930172413793 40.13666530447968, 116.3930172413793 40.14, 116.4045689655172 40.14))",25
"POLYGON ((116.4161206896552 40.14, 116.4161206896552 40.13666530447968, 116.4103448275862 40.13333060895936, 116.4045689655172 40.13666530447968, 116.4045689655172 40.14, 116.4161206896552 40.14))",26
"POLYGON ((116.4276724137931 40.14, 116.4276724137931 40.13666530447968, 116.4218965517241 40.13333060895936, 116.4161206896552 40.13666530447968, 116.4161206896552 40.14, 116.4276724137931 40.14))",27
"POLYGON ((116.439224137931 40.14, 116.439224137931 40.13666530447968, 116.4334482758621 40.13333060895936, 116.4276724137931 40.13666530447968, 116.4276724137931 40.14, 116.439224137931 40.14))",28
"POLYGON ((116.450775862069 40.14, 116.450775862069 40.13666530447968, 116.445 40.13333060895936, 116.439224137931 40.13666530447968, 116.439224137931 40.14, 116.450775862069 40.14))",29
"POLYGON ((116.4623275862069 40.14, 116.4623275862069 40.13666530447968, 116.4565517241379 40.13333060895936, 116.450775862069 40.13666530447968, 116.450775862069 40.14, 116.4623275862069 40.14))",30
"POLYGON ((116.4738793103448 40.14, 116.4738793103448 40.13666530447968, 116.4681034482759 40.13333060895936, 116.4623275862069 40.13666530447968, 116.4623275862069 40.14, 116.4738793103448 40.14))",31
